curve_id,age,volume,ps124,ps126,ps128,ps1210,p34,p36,p38,p310,p44,p46,p48,p410,pbark,pchips,psawdust,pshaving,ptrim
2422000,290.0,474,21194,23285,16593,17711,15403,11643,8624,9338,3721,2314,1556,1571,13.62,40.3,10.84,6.15,4.27
2422000,300.0,474,21194,23285,16593,17711,15403,11643,8624,9338,3721,2314,1556,1571,13.62,40.3,10.84,6.15,4.27
2422000,310.0,474,21194,23285,16593,17711,15403,11643,8624,9338,3721,2314,1556,1571,13.62,40.3,10.84,6.15,4.27
2422000,320.0,474,21194,23285,16593,17711,15403,11643,8624,9338,3721,2314,1556,1571,13.62,40.3,10.84,6.15,4.27
2422000,330.0,474,21194,23285,16593,17711,15403,11643,8624,9338,3721,2314,1556,1571,13.62,40.3,10.84,6.15,4.27
2422000,340.0,474,21194,23285,16593,17711,15403,11643,8624,9338,3721,2314,1556,1571,13.62,40.3,10.84,6.15,4.27
2422000,350.0,474,21194,23285,16593,17711,15403,11643,8624,9338,3721,2314,1556,1571,13.62,40.3,10.84,6.15,4.27
2422002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422002,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422002,20.0,7,6,0,0,0,7,0,0,0,2,0,0,0,0.0,0.01,0.0,0.0,0.0
2422002,30.0,17,21,0,0,0,21,0,0,0,7,0,0,0,0.01,0.03,0.0,0.0,0.0
2422002,40.0,42,2370,3,0,0,2370,3,0,0,731,1,0,0,0.58,2.05,0.37,0.23,0.19
2422002,50.0,81,8679,379,0,0,8677,379,0,0,2627,79,0,0,2.15,7.59,1.38,0.86,0.6
2422002,60.0,125,14336,2881,141,0,14289,2861,141,0,4146,594,29,0,4.07,14.34,2.65,1.59,1.11
2422002,70.0,168,18706,6261,1047,40,18387,5951,994,40,5007,1171,195,8,5.9,20.12,3.93,2.33,1.58
2422002,80.0,209,21535,9794,2787,243,20679,8779,2454,209,5385,1624,434,36,7.54,24.81,5.1,3.01,2.01
2422002,90.0,245,23184,13080,4704,597,21719,11223,3956,488,5530,1998,652,76,8.92,28.67,6.11,3.58,2.38
2422002,100.0,276,24114,15587,6577,1297,22014,12887,5352,1014,5532,2288,851,144,10.04,31.55,6.93,4.04,2.68
2422002,110.0,303,24609,17614,8216,2029,21994,14116,6540,1560,5483,2521,1020,213,10.93,33.76,7.59,4.41,2.92
2422002,120.0,324,24376,19415,9654,2816,21531,14966,7508,2145,5369,2714,1162,289,11.58,35.24,8.07,4.7,3.1
2422002,130.0,343,24104,20862,10825,3475,21091,15622,8287,2635,5262,2867,1277,353,12.1,36.38,8.46,4.92,3.25
2422002,140.0,358,23862,22048,11789,4022,20715,16153,8927,3041,5171,2992,1371,405,12.52,37.3,8.77,5.1,3.37
2422002,150.0,370,23636,22406,12588,4691,20370,16172,9401,3523,5038,3023,1434,468,12.77,37.74,8.97,5.21,3.44
2422002,160.0,379,23447,22674,13248,5252,20084,16170,9790,3927,4927,3044,1485,521,12.98,38.08,9.13,5.3,3.51
2422002,170.0,387,23283,22885,13784,5711,19841,16161,10106,4258,4833,3061,1526,564,13.14,38.35,9.26,5.37,3.56
2422002,180.0,394,23032,22930,14131,6041,19546,16070,10300,4495,4734,3058,1550,595,13.2,38.36,9.32,5.4,3.58
2422002,190.0,400,22825,22967,14418,6313,19303,15995,10459,4690,4652,3056,1570,621,13.25,38.37,9.36,5.43,3.59
2422002,200.0,404,22654,22998,14653,6538,19103,15933,10591,4850,4585,3054,1586,642,13.28,38.38,9.4,5.45,3.61
2422002,210.0,408,22513,23023,14848,6722,18938,15881,10699,4983,4530,3052,1600,659,13.32,38.38,9.43,5.46,3.62
2422002,220.0,411,22397,23044,15008,6875,18802,15839,10788,5092,4484,3051,1611,674,13.34,38.38,9.45,5.48,3.63
2422002,230.0,414,22302,23061,15139,7000,18690,15805,10862,5182,4447,3049,1620,685,13.37,38.39,9.47,5.49,3.64
2422002,240.0,416,22223,23075,15248,7103,18598,15776,10922,5256,4416,3048,1628,695,13.38,38.39,9.49,5.5,3.64
2422002,250.0,417,22136,23074,15322,7203,18508,15744,10964,5320,4391,3045,1634,704,13.39,38.38,9.5,5.5,3.65
2422002,260.0,418,22062,23072,15383,7286,18433,15717,10998,5372,4371,3042,1639,711,13.4,38.36,9.5,5.5,3.65
2422002,270.0,420,22002,23071,15433,7355,18371,15695,11026,5416,4354,3039,1643,717,13.4,38.35,9.51,5.51,3.65
2422002,280.0,420,21953,23070,15474,7411,18320,15677,11049,5451,4340,3037,1646,722,13.41,38.34,9.51,5.51,3.66
2422002,290.0,421,21912,23069,15507,7457,18278,15662,11068,5481,4329,3035,1649,726,13.41,38.33,9.51,5.51,3.66
2422002,300.0,421,21912,23069,15507,7457,18278,15662,11068,5481,4329,3035,1649,726,13.41,38.33,9.51,5.51,3.66
2422002,310.0,421,21912,23069,15507,7457,18278,15662,11068,5481,4329,3035,1649,726,13.41,38.33,9.51,5.51,3.66
2422002,320.0,421,21912,23069,15507,7457,18278,15662,11068,5481,4329,3035,1649,726,13.41,38.33,9.51,5.51,3.66
2422002,330.0,421,21912,23069,15507,7457,18278,15662,11068,5481,4329,3035,1649,726,13.41,38.33,9.51,5.51,3.66
2422002,340.0,421,21912,23069,15507,7457,18278,15662,11068,5481,4329,3035,1649,726,13.41,38.33,9.51,5.51,3.66
2422002,350.0,421,21912,23069,15507,7457,18278,15662,11068,5481,4329,3035,1649,726,13.41,38.33,9.51,5.51,3.66
2422003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422003,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422003,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422003,30.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422003,40.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422003,50.0,32,463,0,0,0,463,0,0,0,141,0,0,0,0.13,0.63,0.09,0.05,0.05
2422003,60.0,62,2950,8,0,0,2952,8,0,0,860,2,0,0,0.77,3.45,0.54,0.28,0.27
2422003,70.0,97,7292,427,12,0,7250,383,11,0,1810,70,2,0,1.84,7.81,1.33,0.72,0.6
2422003,80.0,135,12029,1581,126,0,11838,1289,108,0,2667,216,19,0,3.12,12.76,2.27,1.26,0.99
2422003,90.0,174,16373,3454,594,29,15834,2442,441,18,3505,404,62,3,4.47,17.7,3.27,1.84,1.38
